title,price,bhk,area_sqft,parking
3 BHK Flat in Sector 3 Dwarka,28100000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 3 Dwarka,24600000.0,3.0,1900.0,1.0
Jain Luxury Floors,12000000.0,4.0,,
Guruji Housing,22.0,4.0,,
Lamba Floors Rohini Sector 25,26900000.0,4.0,,
Rawat Homes,16500000.0,4.0,,
Rohini Luxury Floors,27000000.0,4.0,,
Gaurav Homes,15200000.0,4.0,,
Property Gokuldham Rohini,12400000.0,4.0,,
2 BHK Independent Builder Floor in Subhash Nagar,11000000.0,2.0,950.0,1.0
Sun Real Independent Floors,14000000.0,4.0,,
Jain Luxury Floors,11000000.0,5.0,,
Shiv Adarsh Best Residential Floor,18.0,4.0,,
Happy Homes Dwarka Mor,18.0,3.0,,
OM Vinayak Apartment,55.0,3.0,,
Jain Luxury Floors,16000000.0,4.0,,
Sun Freedom Fighter Floors,13000000.0,4.0,,
Adarshika Apartment,33.0,3.0,,
2 BHK Flat in Sector 12 Dwarka,22500000.0,2.0,1250.0,
Guliya Manish Affordable Floor,16.0,4.0,,
Diamonds Home,18.0,4.0,,
DPX Luxurious Homes,26.0,3.0,,
3 BHK Flat in Nawada,41.0,3.0,850.0,
3 BHK Flat in Sector 9 Dwarka,29500000.0,3.0,1900.0,1.0
Goyal Floor,90.0,4.0,,
2 BHK Independent Builder Floor in Subhash Nagar,12000000.0,2.0,900.0,1.0
New Lamba Luxury Floors,15000000.0,4.0,,
4 BHK Independent Builder Floor in Ashok Vihar,50000000.0,4.0,2268.0,1.0
Saluja Luxury Floors,15.0,3.0,,
Property Hub,38.0,3.0,,
Vaibhav Builders Floors,21000000.0,4.0,,
Smart Luxury Floors,52500000.0,4.0,,
3 BHK Flat in Vasant Kunj,45000000.0,3.0,1500.0,
4 BHK Independent Builder Floor in Greater Kailash I,85000000.0,4.0,2700.0,1.0
3 BHK Independent Builder Floor in Shastri Nagar,90.0,3.0,720.0,1.0
2 BHK Flat in Rajpur,44.3,2.0,680.0,
Smart Luxury Floors,290000000.0,4.0,,
3 BHK Independent Builder Floor in Vishnu Garden,10000000.0,3.0,780.0,1.0
4 BHK Flat in Sector 5 Dwarka,38900000.0,4.0,2600.0,
Vaibhav New Floors,21500000.0,4.0,,
4 BHK Flat in Sector 4 Dwarka,34500000.0,4.0,2200.0,
3 BHK Flat in Sector 19 Dwarka,37000000.0,3.0,1900.0,
4 BHK Independent Builder Floor in Greater Kailash I,100000000.0,4.0,2700.0,1.0
Smart Luxury Floors,165000000.0,4.0,,
Guru Ji Home Luxurious,40.0,3.0,,
Godrej South Estate,17700000.0,4.0,,
The Shiva Luxury Floors,33.43,4.0,,
Apna Premium Homes,50.0,4.0,,
3 BHK Flat in Sector 19 Dwarka,28000000.0,3.0,1659.0,1.0
,90.0,,,
Guru Ji Shyam Kunj,22.62,3.0,,
Guliya Manish Affordable Floor lV,16.0,4.0,,
S Gambhir The Swastik,40.0,4.0,,
Manish Affordable Homes Uttam Nagar,19.0,4.0,,
Adarsh Prem Kunj,23.99,3.0,,
Red Affordable Flats,16.0,2.0,,
The Shiva Affordable Floor,18.0,4.0,,
The Home Premium Floors,18.0,4.0,,
Suri Dwarkadish Floors,21000000.0,5.0,,
Adarsh The Ayodhya,17.0,3.0,,
The Modern Floors,25.0,4.0,,
S K The Floors,26.0,3.0,,
Kaanha Homes,15.0,4.0,,
3 BHK Independent Builder Floor in Sector 11 Rohini,19500000.0,3.0,1250.0,1.0
Guru Ji Lavish Floors,15000000.0,4.0,,
2 BHK Flat in Sector 2 Dwarka,21500000.0,2.0,1500.0,
2 BHK Flat in Rajpur,45.0,2.0,610.0,
2 BHK Flat in Rajpur,46.3,2.0,680.0,
2 BHK Flat in Rajpur,45.0,2.0,720.0,
4 BHK Independent Builder Floor in Shanti Niketan,164000000.0,4.0,3600.0,1.0
3 BHK Independent Builder Floor in Lajpat Nagar,52500000.0,3.0,1800.0,1.0
Complete CHS Affordable Flats,15000000.0,4.0,,
Shiv Mahima Premium Floors,90.0,4.0,,
3 BHK Flat in Sector 22 Dwarka,39500000.0,3.0,2100.0,1.0
DPX Metro Floors,45.0,3.0,,
Jini Affordable Homes,10000000.0,4.0,,
Signature Affordable Floors,10000000.0,4.0,,
Manish Affordable Floor lll,16.0,4.0,,
Chadha Smart Homes,19900000.0,3.0,,
2 BHK Independent Builder Floor in Sector 11 Rohini,11500000.0,2.0,750.0,1.0
3 BHK Flat in Greater Kailash,160000000.0,3.0,2400.0,
S K Luxury Floors,22.0,4.0,,
G3 Luxurious Floor lV,35.0,4.0,,
Setia Premium Floors,27500000.0,3.0,,
Apna SGB Metro Views,27.0,4.0,,
Shiv Mahima Luxury Floors,21.0,3.0,,
Red Real Affordable Floors,20.0,2.0,,
Guru Ji Welfare Homes,10000000.0,4.0,,
3 BHK Independent Builder Floor in Sector 25 Rohini,80.0,3.0,850.0,
Shri Shyam Affordable Luxury Homes,12000000.0,4.0,,
Sun Freedom Floors 2,30.0,2.0,,
Rathi Affordable Homes,45.0,3.0,,
2 BHK Flat in Samay Pur,28.0,2.0,450.0,1.0
2 BHK Flat in Rajpur,45.3,2.0,680.0,
3 BHK Independent Builder Floor in Lajpat Nagar,65000000.0,3.0,1800.0,1.0
J R Luxurious Homes,17500000.0,4.0,,
Dhingra Aggarwal Homes,11500000.0,4.0,,
3 BHK Independent Builder Floor in Azadpur,13500000.0,3.0,1050.0,1.0
G3 The Luxury Appartments,38.03,4.0,,
4 BHK Flat in Burari,75.51,4.0,1300.0,
3 BHK Independent Builder Floor in Sector 8 Dwarka,14100000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,20000000.0,3.0,1125.0,1.0
Suri Luxury Floors,16000000.0,5.0,,
Midha 3 Side Corner Park Facing,36500000.0,3.0,,
Rohini Builder Floors,10900000.0,4.0,,
3 BHK Independent Builder Floor in Deenpur,65.2,3.0,1080.0,1.0
3 BHK Independent Builder Floor in Vikaspuri,16500000.0,3.0,1125.0,
J R Builder Floors,16000000.0,4.0,,
Hardik Deep Vihar Homes,12500000.0,4.0,,
,16000000.0,,,
2 BHK Flat in Sector 22 Dwarka,20500000.0,2.0,1500.0,1.0
3 BHK Flat in Sector 6 Dwarka,38500000.0,3.0,2300.0,1.0
