Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Math Bagan,2,865,3,2,North - East,Freehold,Resale,Ready to Move,30,3000,0,0,0,Low
Rab,3,1250,3,2,North,Freehold,Resale,Ready to Move,225,13694,0,1,0,Mid
Boral,3,884,3,2,South - East,Freehold,Resale,Ready to Move,35,3365,0,1,0,Low
Kamalgazi Sonarpur Road,3,1208,2,2,South - East,Freehold,Resale,Ready to Move,95,6291,0,1,0,Low
Joka,2,476,1,2,South - East,Freehold,Resale,Ready to Move,31,4000,0,1,1,Low
Kasba,2,780,2,2,Unknown,Freehold,Resale,Ready to Move,40,4571,0,0,0,Low
Action Area 2,3,1018,1,2,South - East,Freehold,Resale,Ready to Move,60,4926,1,1,0,Low
Narendrapur Rajpur Sonarpur,2,910,4,2,South,Freehold,Resale,Ready to Move,30,3297,0,0,0,Low
Kalikapur Road,3,1250,2,2,South - East,Freehold,Resale,Ready to Move,67,5360,1,0,0,Low
Vivekananda Nagar Madhyamgram,2,786,6,2,East,Unknown,Resale,Ready to Move,75,6499,1,0,1,Low
Rajarhat,3,893,2,2,South -West,Freehold,Resale,Ready to Move,91,10190,0,1,0,Low
Lake Market,2,550,2,2,Unknown,Freehold,Resale,Ready to Move,70,8485,1,0,0,Low
Rajarhat,2,765,2,2,South,Freehold,Resale,Ready to Move,42.3,4024,0,0,0,Low
Krishnapur Kestopur,2,750,4,2,Unknown,Unknown,Resale,Ready to Move,40,5333,0,0,0,Low
Beleghata Ma,3,1556,8,1,North - East,Freehold,Resale,Ready to Move,175,8642,0,1,0,Mid
Sinthi,2,1100,1,2,Unknown,Unknown,Resale,Ready to Move,70,6363.63636363636,0,0,0,Low
Jyangra,2,750,2,1,East,Freehold,Resale,Ready to Move,19,2111,1,0,0,Low
Kasba,2,550,0,2,South -West,Unknown,Resale,Ready to Move,24,3529,0,0,0,Low
Survey Park,2,710,4,2,South -West,Freehold,Resale,Ready to Move,58,6517,0,1,0,Low
Rajarhat,4,1450,13,3,Unknown,Unknown,Resale,Unknown,135,6959,1,0,0,Low
Eastern Metropolitan Bypass,1,400,1,1,South - East,Freehold,Resale,Ready to Move,35,8750,0,1,0,Low
Eastern Metropolitan Bypass,4,2128,7,3,Unknown,Freehold,Resale,Ready to Move,350,16447,0,1,0,Mid
Jessore Road,3,1928,6,3,North - East,Unknown,Resale,Ready to Move,170,8817,1,1,1,Mid
Tollygunge,4,1348,,4,North - East,Freehold,Resale,Ready to Move,225,10849,1,0,0,Mid
Tollygunge,2,1240,1,2,East,Freehold,Resale,Ready to Move,120,9677,1,0,0,Low
Tollygunge,3,1344,10,2,South -West,Freehold,Resale,Ready to Move,139,10342,1,1,1,Low
New Alipore,3,1953,8,3,North - East,Freehold,Resale,Ready to Move,320,16385,0,0,1,Mid
Garfa Ma,2,700,0,2,South,Freehold,Resale,Ready to Move,32,4211,0,1,0,Low
Kalikapur Haltu,3,1079,2,2,East,Freehold,Resale,Ready to Move,70,6487,0,1,0,Low
Tagore Park,2,800,3,2,South,Freehold,Resale,Ready to Move,47,5875,0,0,0,Low
Maheshtala,2,712,7,2,Unknown,Unknown,Resale,Ready to Move,27,3792,0,0,0,Low
New Town,3,1539,5,4,South - East,Co-operative Society,Resale,Ready to Move,178,9252,0,1,0,Mid
Dum Dum,2,1000,4,1,South,Unknown,Resale,Ready to Move,55,5500,0,0,0,Low
Serampore,3,587,1,2,Unknown,Unknown,Resale,Ready to Move,40,4396,0,0,0,Low
Hainavi,2,742,3,2,South,Freehold,Resale,Ready to Move,28,2976,0,0,1,Low
Kustia,3,1500,1,3,South - East,Freehold,Resale,Ready to Move,100,6667,1,0,0,Low
Kalyan Nagar Rahara,2,720,4,2,Unknown,Freehold,Resale,Ready to Move,25,2778,0,0,0,Low
Metropolitan Co Operative Hous,3,1671,30,3,Unknown,Unknown,Resale,Ready to Move,250,14961.1011370437,0,0,0,Mid
Boral Ma,2,808,1,2,South - East,Freehold,Resale,Ready to Move,35,3684,1,1,0,Low
Narendrapur Rajpur Sonarpur,2,838,1,2,South -West,Freehold,Resale,Ready to Move,41.8,4988,1,1,0,Low
Maheshtala,2,468,1,2,South - East,Freehold,Resale,Ready to Move,24,3371,1,1,1,Low
Bramhapur,3,808,3,2,Unknown,Freehold,Resale,Ready to Move,43,4526,0,0,0,Low
Picnic Garden,2,650,4,1,Unknown,Unknown,Resale,Ready to Move,29,4462,0,0,0,Low
Alipore,3,1137,1,3,North,Co-operative Society,Resale,Ready to Move,150,9888,0,1,0,Low
Kestopur,3,1182,9,3,Unknown,Unknown,Resale,Ready to Move,125,6757,0,0,0,Low
Garia,2,650,3,2,South,Freehold,Resale,Ready to Move,37,5286,0,1,0,Low
Ultadanga,3,1758,18,3,South - East,Leasehold,Resale,Ready to Move,250,14221,0,1,0,Mid
Joka,2,817,15,2,South -West,Freehold,Resale,Unknown,49,5998,0,0,1,Low
Rajarhat,3,1150,2,2,South - East,Freehold,Resale,Ready to Move,79.5,5368,0,1,0,Low
Eastern Metropolitan Bypass,3,1050,11,2,North - East,Freehold,Resale,Ready to Move,135,9285,0,1,1,Low
Basanta Lal Saha Road,4,2000,4,3,East,Freehold,Resale,Ready to Move,165,6846,1,1,0,Mid
Maheshtala,2,447,5,2,East,Freehold,New Property,Ready to Move,29,5206,0,0,0,Low
Barasat,3,772,4,2,South - East,Freehold,Resale,Ready to Move,22,2280,1,0,1,Low
Kolkata,2,713,0,2,South - East,Freehold,Resale,Ready to Move,33,4628,0,0,0,Low
Chandni Chawk,2,3811,4,1,Unknown,Freehold,Resale,Ready to Move,100,3497,0,1,0,Low
Nayabad,3,1000,3,2,South - East,Freehold,Resale,Ready to Move,60,4528,0,0,0,Low
Amtala,2,552,3,1,South -West,Freehold,Resale,Ready to Move,31,5616,0,0,0,Low
Kolkata,2,1150,1,2,South - East,Unknown,Resale,Ready to Move,100,6614,1,1,0,Low
Rajarhat,2,618,8,2,North - East,Freehold,Resale,Ready to Move,75,11013,1,1,1,Low
Picnic Garden Road,3,1501,6,3,South - East,Freehold,Resale,Ready to Move,159,10593,0,0,1,Mid
Eastern Metropolitan Bypass,2,562,4,2,South,Freehold,Resale,Ready to Move,40,5089,1,0,0,Low
Rajarhat,3,800,2,2,South - East,Freehold,Resale,Ready to Move,55,5446,1,0,1,Low
Katju Nagar,3,1150,3,2,Unknown,Unknown,Resale,Ready to Move,110,8800,0,0,0,Low
New Ballygunge,2,640,3,1,East,Freehold,New Property,Ready to Move,31,4241,0,1,0,Low
Mandirtala Shibpur,3,1200,1,2,Unknown,Unknown,Resale,Ready to Move,90,7212,0,0,0,Low
