Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Rajarhat,2,1040,5,2,North - East,Freehold,Resale,Ready to Move,38,3654,1,1,1,Low
Garia,2,801,2,2,South,Freehold,Resale,Ready to Move,88,8232,1,0,1,Low
Gokhel Road,3,2100,0,2,East,Freehold,Resale,Ready to Move,150,8333,0,1,0,Low
Diamond Harbour Road,2,1056,5,2,Unknown,Unknown,Resale,Ready to Move,56,5303,0,0,0,Low
Survey Park,3,1286,5,3,South - East,Freehold,Resale,Ready to Move,135,8359,1,1,0,Low
Baruipur,1,435,3,1,Unknown,Unknown,Resale,Ready to Move,18,4138,0,0,0,Low
Hazra,3,1293,5,3,South,Freehold,New Property,Ready to Move,237,12273,0,1,0,Mid
Anandapur,3,1370,1,2,Unknown,Unknown,Resale,Ready to Move,100,7299,0,0,0,Low
Kolkata,2,650,3,2,Unknown,Unknown,Resale,Ready to Move,19,2235,0,0,0,Low
Serampore,3,740,8,3,North - East,Unknown,Resale,Ready to Move,70,6737,1,1,1,Low
Narendrapur Rajpur Sonarpur,3,1024,4,2,East,Co-operative Society,Resale,Ready to Move,60,4688,0,1,1,Low
Sarsuna,2,825,2,2,East,Freehold,Resale,Ready to Move,35,3889,0,0,0,Low
Shibpur,2,675,1,1,North - East,Freehold,Resale,Ready to Move,31.5,4667,0,1,0,Low
Behala,2,562,1,1,Unknown,Unknown,Resale,Ready to Move,21.5,3826,0,0,0,Low
Park Circus,2,600,1,1,Unknown,Unknown,Resale,Ready to Move,72.5,9864,0,0,0,Low
Mission Pally,2,725,3,2,Unknown,Unknown,Resale,Ready to Move,30,4138,0,0,0,Low
Bhowanipore,3,970,4,2,Unknown,Unknown,Resale,Ready to Move,135,10282,0,0,0,Low
Narkeldanga,3,1483,1,2,Unknown,Unknown,Resale,Ready to Move,105,7080,0,0,0,Low
Behala Chowrasta,1,2100,2,4,South - East,Freehold,Resale,Ready to Move,140,4819,1,1,0,Low
Phool Bagan Kankurgachi,3,1272,3,3,Unknown,Freehold,Resale,Ready to Move,182,10122,1,1,1,Mid
Chandannagar,4,1016,2,2,South - East,Freehold,Resale,Ready to Move,49,3528,1,0,0,Low
Sundarpur Chandannagar,3,800,3,2,Unknown,Unknown,Resale,Ready to Move,70,8750,0,0,0,Low
Narendrapur Rajpur Sonarpur,3,1109,1,2,East,Freehold,Resale,Ready to Move,49,4418,0,1,0,Low
Bidhangarh Ghoshpara,3,960,0,1,South,Freehold,Resale,Ready to Move,28,2667,0,1,0,Low
Kolkata,2,700,,2,Unknown,Unknown,Resale,Ready to Move,24,3429,0,0,0,Low
Birati,2,840,3,2,North - West,Freehold,Resale,Ready to Move,50,5952,1,0,0,Low
Tangra,3,1350,2,3,Unknown,Unknown,Resale,Ready to Move,150,8886,0,0,0,Low
New Town,2,954,15,2,Unknown,Unknown,Resale,Ready to Move,85,8910,0,1,0,Low
Purbalok,3,1104,2,2,South - East,Freehold,Resale,Ready to Move,75,5054,0,1,0,Low
Metropolitan Co Operative Hous,4,1900,4,4,South - East,Freehold,Resale,Ready to Move,135,6136,1,1,0,Low
Nagerbazar,1,520,2,1,North,Freehold,Resale,Ready to Move,16,3077,0,1,0,Low
Anandapur Hooghly,3,3127,23,4,East,Unknown,Resale,Ready to Move,531,16981,1,0,1,High
Kolkata,2,750,2,2,Unknown,Unknown,Resale,Ready to Move,28,3733,0,0,0,Low
Gar,3,1100,3,2,Unknown,Unknown,Resale,Ready to Move,40,3636,0,0,0,Low
Uttarpara Ch,2,640,10,2,South,Freehold,New Property,Ready to Move,37,4474,1,0,0,Low
New Town,3,1203,4,2,North - East,Freehold,Resale,Ready to Move,130,8649,1,1,1,Low
Kolkata,2,700,4,2,South - East,Freehold,Resale,Ready to Move,37,4625,1,0,0,Low
Barhans,2,800,1,1,South,Freehold,Resale,Ready to Move,26,3250,0,1,0,Low
Sector 5 Salt Lake City,3,1164,19,2,North - East,Freehold,Resale,Ready to Move,245,21048,0,0,0,Mid
Sakher Bazar,3,1072,2,2,North - West,Freehold,Resale,Ready to Move,55,5131,0,0,0,Low
Rajpur Sonarpur,3,1032,2,2,South,Freehold,Resale,Ready to Move,105,7119,1,0,1,Low
Kolkata,2,650,3,1,Unknown,Unknown,Resale,Ready to Move,16.5,2538,0,0,0,Low
Sinthi,2,650,3,1,Unknown,Unknown,Resale,Ready to Move,22,3385,0,0,0,Low
Mandirtala Shibpur,2,1068,4,2,South,Unknown,Resale,Ready to Move,48,4494,0,1,0,Low
Kolkata,4,1100,4,2,Unknown,Leasehold,Resale,Ready to Move,44,4000,0,0,0,Low
Dum Dum,3,1152,1,2,Unknown,Unknown,Resale,Ready to Move,45,3906,0,0,0,Low
Garia Ma,2,661,1,2,South,Freehold,Resale,Ready to Move,45,5762,0,1,0,Low
Jessore Road,2,731,3,2,Unknown,Freehold,Resale,Ready to Move,40,5472,0,0,0,Low
Shobhabazar,4,1500,1,2,South,Freehold,Resale,Ready to Move,120,7229,1,1,0,Low
Rajpur,2,800,3,1,Unknown,Unknown,Resale,Ready to Move,28,3500,0,0,0,Low
East Mall Road,2,620,3,1,Unknown,Freehold,Resale,Ready to Move,22,3284,0,1,0,Low
Kalighat,4,1900,3,3,South,Freehold,Resale,Ready to Move,200,9091,0,1,0,Mid
Kolkata,2,600,3,2,North,Freehold,Resale,Ready to Move,30.5,3836,0,1,0,Low
Bramhapur,2,500,3,1,Unknown,Unknown,Resale,Ready to Move,13,2600,0,0,0,Low
Rash Behari Avenue,2,506,0,2,Unknown,Unknown,Resale,Ready to Move,115,22727,0,0,0,Low
Nayabad,3,1057,3,2,Unknown,Unknown,Resale,Ready to Move,55,5203,0,0,0,Low
Uttarpara Ch,3,1476,10,2,South -West,Freehold,Resale,Ready to Move,80,5420,0,0,0,Low
Nabapally Sector 4 Salt Lake,3,1000,4,2,North - East,Freehold,Resale,Ready to Move,35,2778,1,1,0,Low
Airport 2 Number Gate,3,850,4,2,South - East,Freehold,Resale,Ready to Move,47,4563,1,1,0,Low
Baguiati,3,900,4,2,East,Unknown,Resale,Ready to Move,38,3619,0,0,0,Low
New Town,3,1000,4,2,Unknown,Unknown,Resale,Ready to Move,75,7500,0,0,0,Low
Saha Para Fartabad,3,1210,2,2,North,Freehold,Resale,Ready to Move,82,5866,0,1,1,Low
Deodar Street,2,850,3,2,Unknown,Co-operative Society,Resale,Ready to Move,100,11765,0,0,0,Low
Nayabad,2,750,4,2,South - East,Freehold,Resale,Ready to Move,50,5656,0,1,0,Low
Kolkata,2,996,3,2,Unknown,Freehold,Resale,Ready to Move,58,5823,0,0,0,Low
Motilal Colony,2,650,3,2,South,Freehold,Resale,Ready to Move,25,3333,0,1,0,Low
New Town,2,685,9,2,Unknown,Freehold,Resale,Ready to Move,125,18248,1,1,1,Low
Action Area 1,2,800,1,2,Unknown,Unknown,Resale,Ready to Move,89,8900,0,0,0,Low
Fartabad,3,1172,3,2,North - East,Freehold,Resale,Ready to Move,70,5973,1,0,0,Low
New Town,1,563,4,1,South,Freehold,New Property,Ready to Move,32,5684,1,0,0,Low
Rajarhat Ma,3,1100,6,2,South - East,Freehold,Resale,Ready to Move,130,11818,0,1,0,Low
Tollygunge,3,1450,1,2,North - East,Freehold,Resale,Ready to Move,120,8000,0,1,0,Low
Gariahat,3,1875,7,3,South -West,Freehold,New Property,Ready to Move,390,18795,1,1,0,Mid
Selimpur Road,2,556,1,2,North,Freehold,Resale,Ready to Move,27,4225,0,0,0,Low
Thakurpukur,3,1451,2,2,South -West,Freehold,Resale,Ready to Move,74,5100,0,0,0,Low
Beleghata,2,430,3,1,Unknown,Unknown,Resale,Ready to Move,34.4,8000,0,0,0,Low
Kolkata,3,916,7,2,Unknown,Unknown,Resale,Ready to Move,32,3493,1,0,0,Low
Rajarhat,4,2800,5,4,Unknown,Unknown,Resale,Ready to Move,225,5625,0,0,0,Mid
Kamalgazi,2,555,4,2,East,Freehold,Resale,Ready to Move,23,3538,1,1,0,Low
Khardaha,1,562,3,1,South,Unknown,New Property,Ready to Move,17,3025,0,1,0,Low
Birati,1,404,3,1,Unknown,Unknown,Resale,Ready to Move,14.8,3663,0,0,0,Low
Santoshpur,3,1400,2,2,South,Freehold,Resale,Ready to Move,110,7143,0,1,0,Low
Kolkata,3,1170,3,2,Unknown,Unknown,Resale,Ready to Move,72,6154,0,0,0,Low
Barasat,3,795,2,2,East,Freehold,Resale,Ready to Move,49,4623,0,1,0,Low
Madhyamgram,2,600,3,2,North - East,Freehold,Resale,Ready to Move,30,3704,1,0,0,Low
Rajarhat,3,1355,10,2,Unknown,Unknown,Resale,Ready to Move,95,7011,0,0,0,Low
Dhakuria,3,1263,4,2,Unknown,Unknown,Resale,Ready to Move,105,8314,0,0,0,Low
Podara,1,519,3,1,South,Unknown,Resale,Ready to Move,11,2119.46050096339,0,1,0,Low
Lake Town,3,1683,4,2,Unknown,Freehold,Resale,Ready to Move,122,7249,0,0,0,Low
Beleghata,3,1200,7,3,Unknown,Unknown,Resale,Ready to Move,220,18333,0,0,0,Mid
Asw,3,1600,1,3,Unknown,Unknown,Resale,Ready to Move,135,8437.5,0,0,0,Low
Uttarpara Ch,1,400,3,1,South -West,Unknown,Resale,Ready to Move,15,3614,0,0,0,Low
Kamalgazi,2,979,1,2,North - West,Freehold,Resale,Ready to Move,48,4903,1,0,1,Low
Purbachal Kalitala,2,1160,2,2,Unknown,Unknown,Resale,Ready to Move,75,6466,0,0,0,Low
Debaipukur,2,675,1,1,Unknown,Unknown,Resale,Ready to Move,16,2370,0,0,0,Low
Regent Estate,3,1200,1,2,South,Leasehold,Resale,Ready to Move,67,5583,0,1,0,Low
Kolkata,2,470,1,1,Unknown,Unknown,Resale,Ready to Move,20,3407,0,0,0,Low
Amtala,3,943,3,3,Unknown,Unknown,Resale,Ready to Move,39,4136,0,0,0,Low
Madurdaha,3,950,2,2,South,Freehold,Resale,Ready to Move,75,5593,0,1,0,Low
Baguiati,2,510,2,2,South - East,Unknown,Resale,Ready to Move,26,3824,0,0,0,Low
Howrah,2,1100,5,2,Unknown,Unknown,Resale,Ready to Move,50.6,4600,0,0,0,Low
Netaji Nagar,1,498,4,1,South -West,Freehold,Resale,Ready to Move,22.5,4518,0,0,0,Low
Ramgarh Garia,3,1140,1,2,Unknown,Unknown,Resale,Ready to Move,48,3718,0,0,0,Low
Boral Ma,2,722,1,2,North,Freehold,Resale,Ready to Move,30,3448,0,1,0,Low
Barabazar Market,2,300,1,1,Unknown,Unknown,Resale,Ready to Move,12,4000,0,0,0,Low
Behala,2,2500,4,2,Unknown,Unknown,Resale,Ready to Move,145,5370,0,0,0,Low
Kolkata,3,1485,2,2,North - East,Freehold,Resale,Ready to Move,75,5051,0,1,0,Low
Howrah,3,1460,11,2,Unknown,Freehold,Resale,Ready to Move,160,10959,1,1,1,Mid
Rajarhat,3,910,5,2,South - East,Freehold,Resale,Ready to Move,55,4850,1,0,0,Low
Maheshtala,1,712,10,1,Unknown,Unknown,Resale,Ready to Move,25,3511,0,0,0,Low
Baruipur,1,350,1,1,Unknown,Unknown,Resale,Unknown,18.5,5286,0,0,0,Low
Kolkata,2,860,1,2,Unknown,Unknown,Resale,Ready to Move,31,3605,0,0,0,Low
Beleghata,4,2100,11,4,Unknown,Unknown,Resale,Ready to Move,240,11429,0,0,0,Mid
Kolkata,2,760,3,2,Unknown,Unknown,Resale,Ready to Move,24,2637,0,0,0,Low
Maheshtala,2,712,7,2,Unknown,Freehold,Resale,Ready to Move,25,3511,0,0,0,Low
Southern Avenue,3,1600,3,3,Unknown,Freehold,Resale,Ready to Move,250,12195,0,0,0,Mid
Panchasayar,2,1100,13,2,North,Freehold,Resale,Ready to Move,140,9333,0,1,0,Low
Howrah,2,605,3,2,North,Freehold,Resale,Ready to Move,38.4,5100,0,1,0,Low
Mahamaya Tala,1,420,1,1,South,Unknown,Resale,Ready to Move,20,4049,0,0,0,Low
Bosepukur,2,687,2,2,Unknown,Unknown,Resale,Ready to Move,55,8005.82241630277,0,0,0,Low
Rajarhat,3,1068,5,2,West,Freehold,Resale,Ready to Move,45,4213,1,0,0,Low
Thakurpukur,2,807,2,2,South,Co-operative Society,Resale,Ready to Move,60,7435,1,1,1,Low
Sonarpur Station Road,2,678,2,2,East,Freehold,Resale,Ready to Move,43,4751,1,0,1,Low
Netaji Nagar,3,1440,3,2,Unknown,Freehold,Resale,Ready to Move,125,8681,0,0,0,Low
Kolkata,3,1200,1,2,Unknown,Unknown,Resale,Ready to Move,60,5000,0,0,0,Low
New Town,2,650,1,1,Unknown,Unknown,Resale,Ready to Move,50,7692,0,0,0,Low
Hast,2,950,7,2,North - East,Freehold,Resale,Ready to Move,100,8929,0,1,0,Low
New Alipore,3,1500,3,3,Unknown,Unknown,Resale,Ready to Move,250,13714,1,0,0,Mid
Shyamnagar,3,1200,1,2,Unknown,Unknown,Resale,Ready to Move,65,5417,0,0,0,Low
Narendrapur Rajpur Sonarpur,3,1308,4,2,Unknown,Unknown,Resale,Ready to Move,65,4969,0,0,0,Low
Ajoy Nagar Santoshpur,1,805,2,1,Unknown,Unknown,Resale,Ready to Move,65,8075,0,0,0,Low
Kankurgachi,4,1460,2,2,East,Freehold,Resale,Ready to Move,170,9315,0,1,0,Mid
Kolkata,2,519,2,1,Unknown,Unknown,Resale,Ready to Move,15,2890,0,0,0,Low
Gariahat,4,1500,2,3,East,Freehold,Resale,Ready to Move,250,13514,0,1,0,Mid
Sakher Bazar,4,1000,3,3,East,Unknown,Resale,Ready to Move,50,3704,0,0,0,Low
Behala,3,1700,0,3,South,Freehold,New Property,Ready to Move,110,5500,1,0,0,Low
Southern Bypass,3,850,11,2,South,Freehold,Resale,Ready to Move,83,7217,1,1,1,Low
Dum Dum Road,2,752,2,2,Unknown,Freehold,Resale,Ready to Move,35,4118,0,0,0,Low
Baguiati,2,740,2,2,East,Freehold,Resale,Ready to Move,32,4324,0,1,0,Low
Kestopur,1,568,0,1,North - East,Freehold,New Property,Ready to Move,45,7923,1,0,0,Low
Barrackpore,2,834,3,2,South - East,Freehold,Resale,Ready to Move,50,4794,0,0,0,Low
Watganj,3,1097,11,2,North - West,Freehold,Resale,Ready to Move,150,10925,0,1,0,Low
Action Area 2,3,995,10,3,South,Freehold,Resale,Unknown,155,9904,1,1,0,Mid
Maheshtala,2,712,5,2,Unknown,Unknown,New Property,Ready to Move,28,3932.58426966292,0,0,0,Low
Rajarhat,3,1140,12,2,Unknown,Unknown,Resale,Ready to Move,200,17544,0,0,0,Mid
Dr Suresh Sarkar Road,4,1500,7,4,Unknown,Unknown,Resale,Ready to Move,350,17500,0,0,0,Mid
Sonarpur,2,810,6,2,Unknown,Freehold,Resale,Ready to Move,40,4938.27160493827,1,0,0,Low
Maheshtala,3,1377,13,2,East,Freehold,Resale,Ready to Move,50,3631,0,0,0,Low
Sonarpur,2,1040,2,2,Unknown,Freehold,Resale,Ready to Move,36,3462,0,0,0,Low
Nagerbazar,4,2100,2,3,Unknown,Unknown,Resale,Ready to Move,130,6190,0,0,0,Low
Haltu,3,960,2,2,South - East,Freehold,Resale,Ready to Move,78,6500,0,1,0,Low
Eastern Metropolitan Bypass,2,903,4,2,South -West,Freehold,Resale,Ready to Move,46,5094.13067552602,0,1,0,Low
Nayabad,3,850,1,2,South - East,Freehold,Resale,Ready to Move,55,4561,0,1,0,Low
Rajarhat,2,927,4,2,Unknown,Unknown,Resale,Ready to Move,40,4315,0,0,0,Low
Ramgarh Colony,2,815,3,2,South - East,Freehold,Resale,Ready to Move,40,4908,0,0,0,Low
Motilal Gupta Road,2,750,3,2,South - East,Freehold,Resale,Ready to Move,32,3279,1,1,0,Low
Howrah,4,1484,5,3,Unknown,Unknown,Resale,Ready to Move,68,3656,0,0,0,Low
Thakurpukur,2,894,1,2,Unknown,Unknown,Resale,Ready to Move,47,5257,0,0,0,Low
Tollygunge,3,1200,1,3,Unknown,Freehold,Resale,Ready to Move,140,8159,1,1,0,Low
Kolkata,2,650,4,2,Unknown,Unknown,Resale,Ready to Move,22,2933,0,0,0,Low
Kolkata,3,1800,2,2,North,Unknown,Resale,Ready to Move,33,1833.33333333333,0,0,0,Low
Block 2 Jat,2,770,1,2,South - East,Freehold,Resale,Ready to Move,26,3377,0,1,0,Low
Tollygunge,2,1125,3,2,Unknown,Unknown,Resale,Ready to Move,100,8889,0,0,0,Low
Gulshan Colony,2,688,2,1,Unknown,Unknown,Resale,Ready to Move,19.5,2549,0,0,0,Low
Kolkata,2,600,4,1,West,Freehold,Resale,Ready to Move,18,2500,0,1,0,Low
Bansdroni,2,800,1,2,North - East,Freehold,Resale,Ready to Move,30,3750,0,1,0,Low
Kolkata,2,720,4,2,Unknown,Unknown,Resale,Ready to Move,20,2777.77777777778,0,0,0,Low
Jessore Road,2,970,2,2,Unknown,Unknown,Resale,Ready to Move,60,6186,0,0,0,Low
Joka,2,940,10,2,Unknown,Freehold,Resale,Ready to Move,60,6383,1,0,1,Low
Nagerbazar,2,700,4,2,Unknown,Unknown,Resale,Ready to Move,27.5,3929,0,0,0,Low
Alipore,4,2420,2,4,Unknown,Unknown,Resale,Ready to Move,270,11157,0,0,0,Mid
Rajarhat Ma,3,1143,3,2,Unknown,Freehold,Resale,Ready to Move,48,4199.4750656168,1,1,1,Low
Dum Dum,2,410,2,1,South - East,Co-operative Society,Resale,Ready to Move,27.5,4900,0,1,0,Low
Kolkata,2,1080,2,2,Unknown,Unknown,Resale,Ready to Move,130,12037,0,0,0,Low
Kolkata,2,600,2,1,North,Freehold,Resale,Ready to Move,22,3667,0,1,0,Low
Rajarhat,2,744,2,2,South - East,Freehold,Resale,Unknown,26,3495,0,0,0,Low
Kolkata,2,750,3,1,South,Unknown,Resale,Ready to Move,15,2000,0,0,0,Low
Picnic Garden,3,1092,3,2,East,Freehold,Resale,Ready to Move,115,8431,0,1,0,Low
Shripur,3,750,1,2,North - East,Freehold,Resale,Ready to Move,30,3006,0,1,0,Low
Kolkata,3,1050,1,3,East,Unknown,Resale,Ready to Move,55,4964,1,1,0,Low
Kolkata,2,630,3,2,North,Freehold,Resale,Ready to Move,42,5753,0,1,0,Low
Shibrampur,3,980,8,2,South - East,Freehold,Resale,Ready to Move,70,5360,1,0,0,Low
Chowhati,4,1539,4,3,South -West,Freehold,Resale,Ready to Move,100,6497.72579597141,1,0,0,Low
Maheshtala,2,712,12,2,Unknown,Unknown,Resale,Ready to Move,45,6320,0,0,0,Low
Shibpur,3,1600,2,2,South - East,Freehold,Resale,Ready to Move,89,5562,0,1,0,Low
Chowhati,2,774,4,2,Unknown,Unknown,Resale,Ready to Move,36,4651,0,0,0,Low
Thakurpukur,3,1237,1,3,Unknown,Unknown,Resale,Ready to Move,55,4446,0,0,0,Low
Rajpur Sonarpur,2,1126,3,2,North - East,Freehold,Resale,Ready to Move,45,3996.44760213144,0,0,0,Low
Raghunathpur,2,750,1,1,East,Freehold,Resale,Ready to Move,29,3412,0,0,0,Low
New Town,1,500,5,1,North - East,Freehold,Resale,Ready to Move,33,6111,1,0,0,Low
Birati,2,910,4,2,North - West,Freehold,Resale,Ready to Move,45,4945,1,1,0,Low
Madurdaha,3,2050,4,3,South - East,Freehold,Resale,Ready to Move,117,4708,1,1,0,Low
Batanagar,3,1296,18,3,Unknown,Unknown,Resale,Ready to Move,100,5023,0,0,0,Low
Subhash Nagar South Dumdum,2,950,2,2,South,Freehold,New Property,Ready to Move,65,5495,0,1,0,Low
New Alipore,3,1485,4,4,North,Freehold,Resale,Ready to Move,150,8108,0,1,0,Low
Eastern Metropolitan Bypass,2,690,16,2,South -West,Freehold,Resale,Ready to Move,115,10286,0,1,0,Low
Dunlop,3,1704,3,2,North,Freehold,Resale,Ready to Move,110,5486,0,1,0,Low
Joka,2,837,2,2,Unknown,Unknown,Resale,Ready to Move,40,4779,0,0,0,Low
Dum Dum,2,565,0,2,Unknown,Unknown,Resale,Ready to Move,260,36879,0,0,0,Mid
Baguiati,2,850,1,2,Unknown,Unknown,Resale,Ready to Move,35,4118,0,0,0,Low
Kolkata,3,1540,10,4,North - West,Unknown,Resale,Ready to Move,115,7468,0,0,0,Low
Kestopur,2,910,3,2,Unknown,Unknown,Resale,Ready to Move,38,4176,0,0,0,Low
Kankurgachi,3,1000,3,2,South - East,Co-operative Society,Resale,Ready to Move,85,6071,1,1,0,Low
Mukundapur,3,1256,3,2,South - East,Freehold,Resale,Ready to Move,85,6768,0,0,1,Low
Behala Chowrasta,2,1070,2,2,East,Freehold,Resale,Ready to Move,44,4112,0,1,0,Low
Narendrapur Rajpur Sonarpur,3,1447,1,3,Unknown,Unknown,Resale,Ready to Move,65,4492,0,0,0,Low
Kolkata,2,980,5,2,Unknown,Unknown,Resale,Ready to Move,32.2,2800,0,0,0,Low
Belghoria,2,830,3,1,North - East,Freehold,Resale,Ready to Move,60,6141,1,1,1,Low
Kolkata,3,1500,3,2,Unknown,Unknown,Resale,Ready to Move,100,6667,0,0,0,Low
Muchipara,2,800,3,2,South - East,Freehold,Resale,Ready to Move,31.5,3938,0,1,1,Low
Alipore,2,600,3,2,Unknown,Unknown,Resale,Ready to Move,35,4375,0,0,0,Low
Belghoria,2,595,2,2,South - East,Freehold,Resale,Ready to Move,26,3714,1,1,0,Low
Garia,2,796,0,2,Unknown,Unknown,Resale,Ready to Move,27,3333,0,0,0,Low
Kolkata,2,728,4,2,South,Co-operative Society,Resale,Ready to Move,25,3434,0,1,0,Low
Maheshtala,3,1524,9,3,Unknown,Unknown,Resale,Ready to Move,52,3412,0,0,0,Low
New Alipore,3,2000,1,1,Unknown,Unknown,Resale,Ready to Move,300,15000,0,0,0,Mid
Garia,2,784,4,2,Unknown,Unknown,Resale,Ready to Move,36,4592,0,0,0,Low
Kamalgazi,2,931,1,2,Unknown,Unknown,Resale,Ready to Move,55,5908,0,0,0,Low
Shibrampur,3,950,9,2,South,Freehold,Resale,Ready to Move,51,4595,1,0,1,Low
Kamdahari,2,650,3,2,South - East,Freehold,Resale,Ready to Move,35,4000,0,1,0,Low
Madhyamgram,2,1015,4,2,Unknown,Unknown,Resale,Ready to Move,40,3941,1,0,0,Low
VIP Service Road,2,800,3,2,North - East,Freehold,Resale,Ready to Move,50,6250,1,0,0,Low
Maheshtala,3,900,2,2,East,Freehold,Resale,Ready to Move,36,2913,1,0,1,Low
Rajarhat,2,850,13,2,South - East,Freehold,Resale,Ready to Move,85,7870,1,1,0,Low
Mukundapur,3,1050,1,2,Unknown,Unknown,Resale,Ready to Move,50,4762,0,0,0,Low
Rajarhat,2,906,2,2,Unknown,Unknown,Resale,Ready to Move,35,3863,0,0,0,Low
Kolkata,2,500,3,1,Unknown,Unknown,Resale,Ready to Move,17,3400,0,0,0,Low
Rajarhat,3,1040,4,2,South,Freehold,Resale,Ready to Move,120,8850,1,0,0,Low
Garia,3,1053,1,2,Unknown,Unknown,Resale,Ready to Move,53,5033,0,0,0,Low
Nagerbazar,3,1000,4,2,South - East,Freehold,Resale,Ready to Move,49.6,4100,1,0,0,Low
Kolkata,2,1432,4,2,Unknown,Freehold,Resale,Ready to Move,89,6215,0,0,0,Low
Kolkata,3,1250,1,2,Unknown,Unknown,Resale,Ready to Move,120,9600,0,0,0,Low
Birati,3,1017,1,2,South - East,Freehold,Resale,Ready to Move,140,13084,0,1,0,Low
Purbachal Haltu,2,620,3,1,North - East,Freehold,Resale,Ready to Move,45,6494,1,1,0,Low
Selimpur,1,445,3,1,Unknown,Freehold,Resale,Ready to Move,21,4719,0,0,0,Low
Haridevpur,3,1179,1,3,North,Freehold,Resale,Ready to Move,170,8277,1,1,0,Mid
Maheshtala,2,662,4,2,South,Freehold,Resale,Ready to Move,32,3575,1,1,0,Low
Jadavpur,2,600,2,2,Unknown,Unknown,Resale,Ready to Move,25,4167,0,0,0,Low
Kolkata,2,655,2,2,East,Freehold,Resale,Ready to Move,55,7285,0,1,0,Low
Fartabad,1,555,2,1,South -West,Freehold,Resale,Ready to Move,30,5405,1,0,0,Low
Tollygunge,3,1150,1,2,Unknown,Unknown,Resale,Ready to Move,120,10435,0,0,0,Low
Bablatala,3,1250,2,2,Unknown,Unknown,Resale,Ready to Move,46.5,3720,0,0,0,Low
Kasba,2,530,2,1,North,Freehold,Resale,Ready to Move,40,7547,0,1,0,Low
Dum Dum,2,672,2,2,North - East,Freehold,Resale,Ready to Move,43,5119,0,1,0,Low
Kolkata,2,834,2,1,South - East,Unknown,Resale,Ready to Move,17.5,2098,0,1,0,Low
Vip Road,3,1643,1,3,North,Freehold,Resale,Ready to Move,120,7304,0,0,0,Low
Kolkata,3,1250,1,2,Unknown,Unknown,Resale,Unknown,30,2400,0,0,0,Low
Kolkata,2,750,3,2,Unknown,Unknown,Resale,Ready to Move,47,6267,0,0,0,Low
Nalta,2,935,3,2,Unknown,Unknown,Resale,Ready to Move,33,3529,0,0,0,Low
Gulshan Colony,2,800,4,1,Unknown,Unknown,Resale,Ready to Move,28,3500,0,0,0,Low
Rajarhat,3,1300,5,2,North,Freehold,Resale,Ready to Move,56,4308,1,1,0,Low
College Street,4,990,,2,Unknown,Unknown,Resale,Ready to Move,55,5556,0,0,0,Low
Rab,2,990,2,2,Unknown,Unknown,Resale,Ready to Move,100,9901,0,0,0,Low
Uttar Panchanna Gram,2,658,3,1,South,Freehold,Resale,Ready to Move,32,4571,0,0,0,Low
Ekbalpur,3,1381,8,2,Unknown,Unknown,Resale,Unknown,128,9269,0,0,0,Low
Baithakkhana,3,1100,11,3,East,Freehold,Resale,Ready to Move,210,12500,1,0,0,Mid
Parnasree Palli,2,980,3,2,South,Freehold,Resale,Ready to Move,65,6633,0,0,0,Low
Raja Rammohan Roy Road,3,930,10,2,South,Freehold,Resale,Ready to Move,120,9608,1,1,0,Low
Gariahat,3,1200,1,3,Unknown,Unknown,Resale,Ready to Move,130,10833,0,0,0,Low
Domjur,3,870,7,2,South -West,Freehold,Resale,Ready to Move,32,2817,0,1,0,Low
Diamond Harbour Road,3,1026,1,2,Unknown,Co-operative Society,Resale,Ready to Move,50,4873.29434697856,0,1,0,Low
Kolkata,2,790,1,2,South -West,Unknown,Resale,Ready to Move,32,3747,0,0,0,Low
Amherst Street,1,240,1,1,East,Freehold,Resale,Ready to Move,13.8,5750,0,0,0,Low
Kolkata,2,500,0,1,South - East,Freehold,Resale,Ready to Move,32,4571,0,0,0,Low
Ho Chi M,2,967,4,2,Unknown,Freehold,Resale,Ready to Move,55,5688,0,1,1,Low
Action Area 3,4,3580,0,5,South -West,Freehold,Resale,Ready to Move,275,6145,1,1,0,Mid
Behala,3,1100,12,2,South - East,Freehold,Resale,Ready to Move,95,6810,1,1,0,Low
New Town,3,1489,32,4,South -West,Freehold,New Property,Unknown,330,14732,0,0,1,Mid
Salt Lake Bypass,2,700,15,2,South,Freehold,Resale,Ready to Move,150,14735,1,1,0,Low
Bansdroni,2,970,3,2,Unknown,Unknown,Resale,Ready to Move,50,4717,0,0,0,Low
Chakra Beriya,1,450,1,1,Unknown,Unknown,Resale,Ready to Move,18,4000,0,0,0,Low
Majarhati,3,1512,0,2,Unknown,Unknown,Resale,Ready to Move,120,7937,0,0,0,Low
Kamalgazi Sonarpur Road,3,900,4,2,North - East,Co-operative Society,Resale,Ready to Move,70,6358,0,0,0,Low
Haridevpur,1,465,3,1,Unknown,Unknown,Resale,Ready to Move,16,3441,0,0,0,Low
New Town,2,627,8,2,South - East,Freehold,Resale,Ready to Move,130,16603,0,1,0,Low
Howrah,3,1032,12,2,Unknown,Unknown,Resale,Ready to Move,80,6873,0,0,0,Low
Kustia,1,370,4,2,Unknown,Unknown,Resale,Ready to Move,13,3513.51351351351,0,0,0,Low
