Name,Price,Square,Super Area,Status,Bathroom,Floor,Overlooking,Facing,Car Parking,Balcony,Society,Ownership,Transaction
3 BHK Flat  for Sale in   Kolkata,₹1.20 Cr ,"₹7,059 per sqft ",1050 sqft,Ready to Move,3,1 out of 3,Main Road,,,1,,Leasehold,Resale
"3 BHK Flat  for Sale in  Parui Mauza, Kolkata",₹42 Lac ,"₹3,801 per sqft ",785 sqft,Ready to Move,2,1 out of 5,"Garden/Park, Main Road",South,,1,Balaji Crimson 2,Freehold,Resale
"2 BHK Flat  for Sale in  Khardaha, Kolkata",₹18.5 Lac ,"₹2,256 per sqft ",670 sqft,Ready to Move,2,2 out of 2,,,,1,,,Resale
"2 BHK Flat  for Sale in  Alipore, Kolkata",₹40 Lac ,"₹5,263 per sqft ",760 sqft,Ready to Move,2,2 out of 4,"Main Road, Garden/Park",South - East,,1,,Freehold,New Property
1 BHK Flat  for Sale in   Kolkata,₹13 Lac ,"₹2,167 per sqft ",500 sqft,Ready to Move,1,4 out of 5,,,,,,,Resale
"2 BHK Flat  for Sale in  Action Area 1, Kolkata",₹65 Lac ,"₹6,842 per sqft ",950 sqft,Ready to Move,2,1 out of 4,"Garden/Park, Main Road",East,,1,,Co-operative Society,New Property
"3 BHK Flat  for Sale in  Rajarhat, Kolkata",₹30 Lac ,"₹3,275 per sqft ",916 sqft,Ready to Move,2,7 out of 7,,,,1,,,Resale
"4 BHK Flat  for Sale in  Behala Thana, Kolkata",₹35 Lac ,"₹2,800 per sqft ",945 sqft,Ready to Move,2,Ground out of 3,,,,1,,,Resale
"3 BHK Flat  for Sale in  Action Area 1, Kolkata",₹1.20 Cr ,"₹7,317 per sqft ",1100 sqft,Ready to Move,3,5 out of 5,Main Road,North - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Boral, Kolkata",₹27 Lac ,"₹3,600 per sqft ",750 sqft,Ready to Move,2,1 out of 3,Main Road,South - East,1 Covered,1,,Freehold,New Property
"3 BHK Flat  for Sale in  Baidyabati, Kolkata",₹30 Lac ,"₹3,158 per sqft ",950 sqft,Ready to Move,2,4 out of 6,,,,1,River Breeze Baidyabati,,Resale
"2 BHK Flat  for Sale in  Bhowanipore, Kolkata",₹2.50 Cr ,"₹17,007 per sqft ",1470 sqft,Ready to Move,2,3 out of 6,"Garden/Park, Main Road",North,1 Covered,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Action Area 2, Kolkata",₹1.30 Cr ,"₹8,371 per sqft ",1553 sqft,Ready to Move,2,9 out of 14,,,,2,Hiland Willows,,Resale
"2 BHK Flat  for Sale in  Barrackpore, Kolkata",₹44 Lac ,"₹4,004 per sqft ",765 sqft,Ready to Move,2,1 out of 3,,,,1,,,Resale
"2 BHK Flat  for Sale in  Narendrapur Rajpur Sonarpur, Kolkata",₹34 Lac ,"₹4,444 per sqft ",494 sqft,Ready to Move,2,1 out of 9,,,,1,Vishnu Happy Homes V,,Resale
"3 BHK Flat  for Sale in  Barrackpore Trunk Road, Kolkata",₹70 Lac ,"₹5,833 per sqft ",1200 sqft,Ready to Move,2,1 out of 20,"Pool, Garden/Park, Main Road",East,,1,Godrej Prakriti,Freehold,Resale
"2 BHK Flat  for Sale in  Philips Colony, Kolkata",₹18 Lac ,"₹2,951 per sqft ",610 sqft,Ready to Move,1,2 out of 4,,,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Madurdaha Main Road, Kolkata",₹48 Lac ,"₹5,955 per sqft ",600 sqft,Ready to Move,2,3 out of 4,Main Road,South -West,,1,,Freehold,New Property
"3 BHK Flat  for Sale in  Rajarhat, Kolkata",₹65 Lac ,"₹4,943 per sqft ",1315 sqft,Ready to Move,3,1 out of 6,,,,1,Jain Dream Excellency,,Resale
"2 BHK Flat  for Sale in  Hindmotor, Kolkata",₹14 Lac ,"₹2,154 per sqft ",550 sqft,Ready to Move,1,2 out of 4,,East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹25 Lac ,"₹3,333 per sqft ",637 sqft,Ready to Move,1,Ground out of 4,,South - East,,,Realtech Nirman Maya,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹41 Lac ,"₹4,154 per sqft ",987 sqft,Ready to Move,2,1 out of 5,,,,,,Freehold,Resale
"2 BHK Flat  for Sale in  Senhati Colony, Kolkata",₹45 Lac ,"₹5,114 per sqft ",710 sqft,Ready to Move,2,3 out of 3,,West,,1,Behala,Freehold,New Property
3 BHK Flat  for Sale in   Kolkata,₹65 Lac ,"₹5,856 per sqft ",950 sqft,Ready to Move,2,3 out of 4,,South,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Action Area 3, Kolkata",₹82 Lac ,"₹5,655 per sqft ",1450 sqft,,2,1 out of 4,,,,3,Kalpanik Co Operative Society,,Resale
"4 BHK Flat  for Sale in  Action Area 1, Kolkata",₹1.01 Cr ,"₹6,580 per sqft ",1000 sqft,,3,5 out of 16,Main Road,East,1 Covered,2,,Co-operative Society,New Property
"1 BHK Flat  for Sale in  Sinthee, Kolkata",₹27 Lac ,"₹3,857 per sqft ",600 sqft,Ready to Move,1,3 out of 4,Main Road,South - East,,1,,Freehold,Resale
